scenario_name,source_seed,mission_mode,frame_count,resolution,starting_altitude_m,device,total_analysis_time_s,average_analysis_ms_per_frame,final_state,final_selected_lz,final_score,retarget_count,target_lock_timestamp_s,max_visual_drift_px_s,average_visual_drift_px_s,detected_object_count_total,run_folder,landing_video,dashboard_video,success,error
11_fields_straight_500m,11_fields_straight_500m.png.png,SAFETY,150,1280x916,500.0,Apple MPS,162.14,1080.4,FINAL_APPROACH,LZ-01,0.594,0,0.1,154.19,88.87,6,/Users/ivan/Desktop/Design Festival/OpenLander/runs/11_fields_straight_500m_2026-09-23_120246_480,/Users/ivan/Desktop/Design Festival/OpenLander/runs/11_fields_straight_500m_2026-09-23_120246_480/landing_replay.mp4,/Users/ivan/Desktop/Design Festival/OpenLander/runs/11_fields_straight_500m_2026-09-23_120246_480/dashboard_replay.mp4,True,
12_mountain_side_500m,12_mountain_side_500m.png.png,SAFETY,150,1280x916,500.0,Apple MPS,161.59,1076.7,FINAL_APPROACH,LZ-02,0.626,1,0.1,84.13,49.95,197,/Users/ivan/Desktop/Design Festival/OpenLander/runs/12_mountain_side_500m_2026-09-23_120542_802,/Users/ivan/Desktop/Design Festival/OpenLander/runs/12_mountain_side_500m_2026-09-23_120542_802/landing_replay.mp4,/Users/ivan/Desktop/Design Festival/OpenLander/runs/12_mountain_side_500m_2026-09-23_120542_802/dashboard_replay.mp4,True,
12_mountain_straight_500m,12_mountain_straight_500m.png.png,SAFETY,150,1280x917,500.0,Apple MPS,165.86,1105.2,FINAL_APPROACH,LZ-02,0.671,3,0.1,131.31,75.39,0,/Users/ivan/Desktop/Design Festival/OpenLander/runs/12_mountain_straight_500m_2026-09-23_120839_688,/Users/ivan/Desktop/Design Festival/OpenLander/runs/12_mountain_straight_500m_2026-09-23_120839_688/landing_replay.mp4,/Users/ivan/Desktop/Design Festival/OpenLander/runs/12_mountain_straight_500m_2026-09-23_120839_688/dashboard_replay.mp4,True,
13_moon_straight_500m,13_moon_straight_500m.png.png,SAFETY,150,1280x916,500.0,Apple MPS,165.28,1101.3,FINAL_APPROACH,LZ-01,0.378,0,0.1,151.14,87.15,5,/Users/ivan/Desktop/Design Festival/OpenLander/runs/13_moon_straight_500m_2026-09-23_121139_895,/Users/ivan/Desktop/Design Festival/OpenLander/runs/13_moon_straight_500m_2026-09-23_121139_895/landing_replay.mp4,/Users/ivan/Desktop/Design Festival/OpenLander/runs/13_moon_straight_500m_2026-09-23_121139_895/dashboard_replay.mp4,True,
14_mars_straight_800m,14_mars_straight_800m.png.png,SAFETY,150,1280x916,800.0,Apple MPS,156.12,1040.3,FINAL_APPROACH,LZ-02,0.519,1,0.1,149.11,85.43,158,/Users/ivan/Desktop/Design Festival/OpenLander/runs/14_mars_straight_800m_2026-09-23_121436_181,/Users/ivan/Desktop/Design Festival/OpenLander/runs/14_mars_straight_800m_2026-09-23_121436_181/landing_replay.mp4,/Users/ivan/Desktop/Design Festival/OpenLander/runs/14_mars_straight_800m_2026-09-23_121436_181/dashboard_replay.mp4,True,
19_night_side_600m,19_night_side_600m.png.png,SAFETY,150,1280x916,600.0,Apple MPS,155.62,1036.9,FINAL_APPROACH,LZ-01,0.666,16,0.1,130.49,75.38,21,/Users/ivan/Desktop/Design Festival/OpenLander/runs/19_night_side_600m_2026-09-23_121725_760,/Users/ivan/Desktop/Design Festival/OpenLander/runs/19_night_side_600m_2026-09-23_121725_760/landing_replay.mp4,/Users/ivan/Desktop/Design Festival/OpenLander/runs/19_night_side_600m_2026-09-23_121725_760/dashboard_replay.mp4,True,
1_parking_side_300m,1_parking_side_300m.png.png,RECOVERY,150,1280x960,300.0,Apple MPS,160.2,1067.5,FINAL_APPROACH,LZ-02,0.702,3,0.1,110.12,63.15,10247,/Users/ivan/Desktop/Design Festival/OpenLander/runs/1_parking_side_300m_2026-09-23_122014_698,/Users/ivan/Desktop/Design Festival/OpenLander/runs/1_parking_side_300m_2026-09-23_122014_698/landing_replay.mp4,/Users/ivan/Desktop/Design Festival/OpenLander/runs/1_parking_side_300m_2026-09-23_122014_698/dashboard_replay.mp4,True,
1_parking_straight_400m,1_parking_straight_400m.png.png,RECOVERY,150,1280x1304,400.0,Apple MPS,182.33,1214.8,FINAL_APPROACH,LZ-01,0.798,0,0.1,179.7,103.59,382,/Users/ivan/Desktop/Design Festival/OpenLander/runs/1_parking_straight_400m_2026-09-23_122310_460,/Users/ivan/Desktop/Design Festival/OpenLander/runs/1_parking_straight_400m_2026-09-23_122310_460/landing_replay.mp4,/Users/ivan/Desktop/Design Festival/OpenLander/runs/1_parking_straight_400m_2026-09-23_122310_460/dashboard_replay.mp4,True,
2_warehouse_straight_350m,2_warehouse_straight_350m.png.png,RECOVERY,150,1280x916,350.0,Apple MPS,166.18,1107.2,FINAL_APPROACH,LZ-01,0.703,0,0.1,135.13,77.4,76,/Users/ivan/Desktop/Design Festival/OpenLander/runs/2_warehouse_straight_350m_2026-09-23_122629_938,/Users/ivan/Desktop/Design Festival/OpenLander/runs/2_warehouse_straight_350m_2026-09-23_122629_938/landing_replay.mp4,/Users/ivan/Desktop/Design Festival/OpenLander/runs/2_warehouse_straight_350m_2026-09-23_122629_938/dashboard_replay.mp4,True,
4_suburban_straight_400m,4_suburban_straight_400m.png.png,RECOVERY,150,1280x914,400.0,Apple MPS,175.46,1169.2,FINAL_APPROACH,LZ-02,0.639,7,0.1,115.37,66.85,170,/Users/ivan/Desktop/Design Festival/OpenLander/runs/4_suburban_straight_400m_2026-09-23_122931_543,/Users/ivan/Desktop/Design Festival/OpenLander/runs/4_suburban_straight_400m_2026-09-23_122931_543/landing_replay.mp4,/Users/ivan/Desktop/Design Festival/OpenLander/runs/4_suburban_straight_400m_2026-09-23_122931_543/dashboard_replay.mp4,True,
