frame_id,filename,timestamp_s,altitude_m,velocity_x_mps,velocity_y_mps,velocity_z_mps,roll_deg,pitch_deg,yaw_deg,camera_hfov_deg,camera_vfov_deg,crop_center_x_norm,crop_center_y_norm,crop_scale
0,000000.png,0.0,120.0,0.0,0.0,-5.0,0.0,0.03,15.0,78.0,78.0,0.5,0.5,1.0
1,000001.png,0.5,110.0,-1.16,0.27,-5.0,0.03,0.05,15.18,78.0,78.0,0.496742,0.500749,0.985597
2,000002.png,1.0,100.0,-2.83,0.7,-5.0,0.05,0.07,15.36,78.0,78.0,0.488011,0.502908,0.946996
3,000003.png,1.5,90.0,-3.69,1.2,-5.0,0.07,0.08,15.54,78.0,78.0,0.47537,0.507029,0.891111
4,000004.png,2.0,80.0,-3.88,1.95,-5.0,0.08,0.08,15.72,78.0,78.0,0.460384,0.514565,0.824856
5,000005.png,2.5,70.0,-3.58,2.71,-5.0,0.08,0.07,15.9,78.0,78.0,0.444616,0.526516,0.755144
6,000006.png,3.0,60.0,-2.91,2.95,-5.0,0.07,0.05,16.08,78.0,78.0,0.42963,0.541695,0.688889
7,000007.png,3.5,50.0,-2.05,2.44,-5.0,0.05,0.02,16.26,78.0,78.0,0.416989,0.556735,0.633004
8,000008.png,4.0,40.0,-1.13,1.43,-5.0,0.03,-0.0,16.44,78.0,78.0,0.408258,0.56781,0.594403
9,000009.png,4.5,30.0,-0.32,0.41,-5.0,0.0,-0.03,16.62,78.0,78.0,0.405,0.572,0.58
