frame_id,filename,timestamp_s,altitude_m,velocity_x_mps,velocity_y_mps,velocity_z_mps,roll_deg,pitch_deg,yaw_deg,camera_hfov_deg,camera_vfov_deg,crop_center_x_norm,crop_center_y_norm,crop_scale
0,000000.png,0.0,120.0,0.0,0.0,-5.0,0.0,0.03,15.0,78.0,78.0,0.5,0.5,1.0
1,000001.png,0.5,110.0,0.22,0.01,-5.0,0.03,0.05,15.18,78.0,78.0,0.500617,0.500019,0.986283
2,000002.png,1.0,100.0,0.54,0.0,-5.0,0.05,0.07,15.36,78.0,78.0,0.502272,0.50003,0.94952
3,000003.png,1.5,90.0,0.7,-0.07,-5.0,0.07,0.08,15.54,78.0,78.0,0.504667,0.499798,0.896296
4,000004.png,2.0,80.0,0.74,-0.24,-5.0,0.08,0.08,15.72,78.0,78.0,0.507506,0.498861,0.833196
5,000005.png,2.5,70.0,0.68,-0.45,-5.0,0.08,0.07,15.9,78.0,78.0,0.510494,0.496869,0.766804
6,000006.png,3.0,60.0,0.55,-0.55,-5.0,0.07,0.05,16.08,78.0,78.0,0.513333,0.494021,0.703704
7,000007.png,3.5,50.0,0.39,-0.48,-5.0,0.05,0.02,16.26,78.0,78.0,0.515728,0.491059,0.65048
8,000008.png,4.0,40.0,0.21,-0.29,-5.0,0.03,-0.0,16.44,78.0,78.0,0.517383,0.488842,0.613717
9,000009.png,4.5,30.0,0.06,-0.08,-5.0,0.0,-0.03,16.62,78.0,78.0,0.518,0.488,0.6
