frame_id,filename,timestamp_s,altitude_m,velocity_x_mps,velocity_y_mps,velocity_z_mps,roll_deg,pitch_deg,yaw_deg,camera_hfov_deg,camera_vfov_deg,crop_center_x_norm,crop_center_y_norm,crop_scale
0,000000.png,0.0,120.0,0.0,0.0,-5.0,0.0,0.03,15.0,78.0,78.0,0.5,0.5,1.0
1,000001.png,0.5,110.0,0.58,0.91,-5.0,0.03,0.05,15.18,78.0,78.0,0.501633,0.502552,0.984911
2,000002.png,1.0,100.0,2.54,1.27,-5.0,0.05,0.07,15.36,78.0,78.0,0.509479,0.506483,0.944472
3,000003.png,1.5,90.0,4.54,0.11,-5.0,0.07,0.08,15.54,78.0,78.0,0.525054,0.50687,0.885926
4,000004.png,2.0,80.0,5.84,-2.17,-5.0,0.08,0.08,15.72,78.0,78.0,0.547591,0.498507,0.816516
5,000005.png,2.5,70.0,6.17,-4.58,-5.0,0.08,0.07,15.9,78.0,78.0,0.574813,0.478311,0.743484
6,000006.png,3.0,60.0,5.55,-5.74,-5.0,0.07,0.05,16.08,78.0,78.0,0.603367,0.448767,0.674074
7,000007.png,3.5,50.0,4.18,-5.04,-5.0,0.05,0.02,16.26,78.0,78.0,0.629193,0.417663,0.615528
8,000008.png,4.0,40.0,2.42,-3.06,-5.0,0.03,-0.0,16.44,78.0,78.0,0.647867,0.394055,0.575089
9,000009.png,4.5,30.0,0.69,-0.88,-5.0,0.0,-0.03,16.62,78.0,78.0,0.655,0.385,0.56
